ObjectId,service_date,line,estimated_boardings
259,2020/08/03 04:00:00+00,Greenbush,353
260,2020/08/03 04:00:00+00,Fairmount,371
261,2020/08/04 04:00:00+00,Providence/Stoughton,2938
262,2020/08/04 04:00:00+00,Newburyport/Rockport,1472
263,2020/08/04 04:00:00+00,Framingham/Worcester,1498
264,2020/08/04 04:00:00+00,Franklin/Foxboro,1371
265,2020/08/04 04:00:00+00,Middleborough/Lakeville,939
266,2020/08/04 04:00:00+00,Lowell,848
267,2020/08/04 04:00:00+00,Haverhill,697
268,2020/08/04 04:00:00+00,Kingston,701.5
269,2020/08/04 04:00:00+00,Needham,658.5
270,2020/08/04 04:00:00+00,Fitchburg,572
271,2020/08/04 04:00:00+00,Greenbush,336.5
272,2020/08/04 04:00:00+00,Fairmount,414.5
273,2020/08/05 04:00:00+00,Providence/Stoughton,2866.5
274,2020/08/05 04:00:00+00,Newburyport/Rockport,1543
275,2020/08/05 04:00:00+00,Framingham/Worcester,1292
276,2020/08/05 04:00:00+00,Franklin/Foxboro,1393
277,2020/08/05 04:00:00+00,Middleborough/Lakeville,955
278,2020/08/05 04:00:00+00,Lowell,832
279,2020/08/05 04:00:00+00,Haverhill,703
280,2020/08/05 04:00:00+00,Kingston,730
281,2020/08/05 04:00:00+00,Needham,657
282,2020/08/05 04:00:00+00,Fitchburg,692
283,2020/08/05 04:00:00+00,Greenbush,311.5
284,2020/08/05 04:00:00+00,Fairmount,470
285,2020/08/06 04:00:00+00,Providence/Stoughton,3275
286,2020/08/06 04:00:00+00,Newburyport/Rockport,1550.5
287,2020/08/06 04:00:00+00,Framingham/Worcester,1474.5
288,2020/08/06 04:00:00+00,Franklin/Foxboro,1400.5
289,2020/08/06 04:00:00+00,Middleborough/Lakeville,767.5
290,2020/08/06 04:00:00+00,Lowell,972
291,2020/08/06 04:00:00+00,Haverhill,794
292,2020/08/06 04:00:00+00,Kingston,693
293,2020/08/06 04:00:00+00,Needham,664
294,2020/08/06 04:00:00+00,Fitchburg,789
295,2020/08/06 04:00:00+00,Greenbush,324
296,2020/08/06 04:00:00+00,Fairmount,412
297,2020/08/07 04:00:00+00,Providence/Stoughton,3303.5
298,2020/08/07 04:00:00+00,Newburyport/Rockport,1721
299,2020/08/07 04:00:00+00,Framingham/Worcester,1637.5
300,2020/08/07 04:00:00+00,Franklin/Foxboro,1320.5
301,2020/07/15 04:00:00+00,Needham,639.5
302,2020/07/15 04:00:00+00,Fitchburg,551
303,2020/07/15 04:00:00+00,Greenbush,341
304,2020/07/15 04:00:00+00,Fairmount,479.5
305,2020/07/16 04:00:00+00,Providence/Stoughton,2664
306,2020/07/16 04:00:00+00,Newburyport/Rockport,1599
307,2020/07/16 04:00:00+00,Framingham/Worcester,1568
308,2020/07/16 04:00:00+00,Franklin/Foxboro,1361
309,2020/07/16 04:00:00+00,Middleborough/Lakeville,972
310,2020/07/16 04:00:00+00,Lowell,946.5
311,2020/07/16 04:00:00+00,Haverhill,735
312,2020/07/16 04:00:00+00,Kingston,774
313,2020/07/16 04:00:00+00,Needham,706.5
314,2020/07/16 04:00:00+00,Fitchburg,583
315,2020/07/16 04:00:00+00,Greenbush,338
316,2020/07/16 04:00:00+00,Fairmount,427
317,2020/07/17 04:00:00+00,Providence/Stoughton,2638.5
318,2020/07/17 04:00:00+00,Newburyport/Rockport,1429.5
319,2020/07/17 04:00:00+00,Framingham/Worcester,1219.5
320,2020/07/17 04:00:00+00,Franklin/Foxboro,1426
321,2020/07/17 04:00:00+00,Middleborough/Lakeville,962
322,2020/07/17 04:00:00+00,Lowell,847
323,2020/07/17 04:00:00+00,Haverhill,691
324,2020/07/17 04:00:00+00,Kingston,799
325,2020/07/17 04:00:00+00,Needham,556.5
326,2020/07/17 04:00:00+00,Fitchburg,587
327,2020/07/17 04:00:00+00,Greenbush,297
328,2020/07/17 04:00:00+00,Fairmount,386.5
329,2020/07/20 04:00:00+00,Providence/Stoughton,2737
330,2020/07/20 04:00:00+00,Newburyport/Rockport,1354.5
331,2020/07/20 04:00:00+00,Framingham/Worcester,1361
332,2020/07/20 04:00:00+00,Franklin/Foxboro,1515.5
333,2020/07/20 04:00:00+00,Middleborough/Lakeville,857
334,2020/07/20 04:00:00+00,Lowell,893.5
335,2020/07/20 04:00:00+00,Haverhill,619
336,2020/07/20 04:00:00+00,Kingston,737
337,2020/07/20 04:00:00+00,Needham,795
338,2020/07/20 04:00:00+00,Fitchburg,570
339,2020/07/20 04:00:00+00,Greenbush,274
340,2020/07/20 04:00:00+00,Fairmount,349
341,2020/07/21 04:00:00+00,Providence/Stoughton,2944
342,2020/07/21 04:00:00+00,Newburyport/Rockport,1505
343,2020/07/21 04:00:00+00,Framingham/Worcester,1540
344,2020/07/21 04:00:00+00,Franklin/Foxboro,1474.5
345,2020/07/21 04:00:00+00,Middleborough/Lakeville,945
346,2020/07/21 04:00:00+00,Lowell,879
347,2020/07/21 04:00:00+00,Haverhill,651
348,2020/07/21 04:00:00+00,Kingston,806
349,2020/07/21 04:00:00+00,Needham,623.5
350,2020/07/21 04:00:00+00,Fitchburg,606
351,2020/07/02 04:00:00+00,Middleborough/Lakeville,783
352,2020/07/02 04:00:00+00,Lowell,869
353,2020/07/02 04:00:00+00,Haverhill,569
354,2020/07/02 04:00:00+00,Kingston,519
355,2020/07/02 04:00:00+00,Needham,328
356,2020/07/02 04:00:00+00,Fitchburg,658
357,2020/07/02 04:00:00+00,Greenbush,297
358,2020/07/02 04:00:00+00,Fairmount,271
359,2020/07/06 04:00:00+00,Providence/Stoughton,2051.5
360,2020/07/06 04:00:00+00,Newburyport/Rockport,1308
361,2020/07/06 04:00:00+00,Framingham/Worcester,201
362,2020/07/06 04:00:00+00,Franklin/Foxboro,714.5
363,2020/07/06 04:00:00+00,Middleborough/Lakeville,776
364,2020/07/06 04:00:00+00,Lowell,791
365,2020/07/06 04:00:00+00,Haverhill,635
366,2020/07/06 04:00:00+00,Kingston,490
367,2020/07/06 04:00:00+00,Needham,310
368,2020/07/06 04:00:00+00,Fitchburg,492
369,2020/07/06 04:00:00+00,Greenbush,285
370,2020/07/06 04:00:00+00,Fairmount,251
371,2020/07/07 04:00:00+00,Providence/Stoughton,2147.5
372,2020/07/07 04:00:00+00,Newburyport/Rockport,1497
373,2020/07/07 04:00:00+00,Framingham/Worcester,243
374,2020/07/07 04:00:00+00,Franklin/Foxboro,820
375,2020/07/07 04:00:00+00,Middleborough/Lakeville,918
376,2020/07/07 04:00:00+00,Lowell,905
377,2020/07/07 04:00:00+00,Haverhill,690
378,2020/07/07 04:00:00+00,Kingston,727
379,2020/07/07 04:00:00+00,Needham,382
380,2020/07/07 04:00:00+00,Fitchburg,564
381,2020/07/07 04:00:00+00,Greenbush,319
382,2020/07/07 04:00:00+00,Fairmount,283.5
383,2020/07/08 04:00:00+00,Providence/Stoughton,2328.5
384,2020/07/08 04:00:00+00,Newburyport/Rockport,1415
385,2020/07/08 04:00:00+00,Framingham/Worcester,318.5
386,2020/07/08 04:00:00+00,Franklin/Foxboro,1066
387,2020/07/08 04:00:00+00,Middleborough/Lakeville,939
388,2020/07/08 04:00:00+00,Lowell,860.5
389,2020/07/08 04:00:00+00,Haverhill,724
390,2020/07/08 04:00:00+00,Kingston,668.5
391,2020/07/08 04:00:00+00,Needham,426
392,2020/07/08 04:00:00+00,Fitchburg,525
393,2020/07/08 04:00:00+00,Greenbush,277
394,2020/07/08 04:00:00+00,Fairmount,304
395,2020/07/09 04:00:00+00,Providence/Stoughton,2442.5
396,2020/07/09 04:00:00+00,Newburyport/Rockport,1492
397,2020/07/09 04:00:00+00,Framingham/Worcester,546
398,2020/07/09 04:00:00+00,Franklin/Foxboro,1180
399,2020/07/09 04:00:00+00,Middleborough/Lakeville,871
400,2020/07/09 04:00:00+00,Lowell,1025.5
401,2020/08/19 04:00:00+00,Needham,920
402,2020/08/19 04:00:00+00,Fitchburg,695
403,2020/08/19 04:00:00+00,Greenbush,370.5
404,2020/08/19 04:00:00+00,Fairmount,465.5
405,2020/08/20 04:00:00+00,Providence/Stoughton,3124.5
406,2020/08/20 04:00:00+00,Newburyport/Rockport,1751
407,2020/08/20 04:00:00+00,Framingham/Worcester,1533.5
408,2020/08/20 04:00:00+00,Franklin/Foxboro,1424
